px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
108.07	13.6596	1.44073	-0.242989	0.0739309	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0.0274848
108.091	13.666	1.46623	-0.225155	0.0878688	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0.251896
109.527	13.5503	1.46426	-0.0389337	0.135039	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0.167134
109.503	13.5446	1.45372	-0.04538	0.132482	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0.351593
111.021	12.7085	1.52251	-0.489027	-0.144697	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	5.85912
111.101	12.7496	1.59959	-0.427383	-0.0970828	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	2.82579
112.808	12.4455	1.68186	-0.199382	0.0670561	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	2.80864
112.826	12.45	1.70658	-0.185017	0.0784483	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	0.268078
114.701	12.5182	1.80206	0.103663	0.181364	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	1.93304
114.728	12.5227	1.81833	0.109544	0.184136	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0.358644
116.645	12.1817	1.86241	-0.115987	-0.0230985	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	3.09187
116.693	12.1985	1.92274	-0.0976194	-0.00652869	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	1.17548
118.822	12.0054	2.07761	-0.0930611	0.00349207	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	2.22602
118.838	12.0105	2.09625	-0.0867021	0.00869655	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	0.130486
120.767	12.2475	2.00054	0.12402	0.112455	120.695	12.2918	120.743	12.3289	2.21139	0.128528	1.5078
120.8	12.2488	2.03699	0.125278	0.112799	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0.465729
123.288	12.7758	2.36738	0.282793	0.127525	123.568	12.8297	122.95	12.5114	2.29835	0.246599	10.4688
123.269	12.7738	2.35603	0.283088	0.127852	123.142	12.7694	122.95	12.5114	2.29835	0.246599	0.204733
125.13	12.8967	2.03944	0.165422	0.00903267	124.894	12.7743	125.242	12.8125	2.37624	0.369827	10.0718
125.204	12.9068	2.13823	0.157297	0.00235506	125.376	12.9964	125.242	12.8125	2.37624	0.369827	3.13634
127.657	13.2962	2.37156	0.153852	0.000554758	127.853	13.3273	127.609	13.2365	2.44434	0.495787	5.10648
127.648	13.2953	2.38642	0.152013	-0.00203682	127.506	13.153	127.609	13.2365	2.44434	0.495787	0.616614
129.952	13.6929	2.38142	0.171462	0.00942999	129.947	13.6963	130.042	13.7853	2.50232	0.621879	0.0116447
130.007	13.6978	2.41505	0.169663	0.00841849	130.334	13.781	130.042	13.7853	2.50232	0.621879	1.44594
132.162	14.4813	2.34065	0.36016	0.108005	132.092	14.507	132.53	14.458	2.55028	0.74543	1.25597
132.224	14.4728	2.40934	0.338537	0.0872175	132.447	14.3423	132.53	14.458	2.55028	0.74543	1.65553
134.891	15.0332	2.60821	0.20645	-0.0401002	135.074	15.0475	135.066	15.2513	2.58865	0.863795	5.05823
134.917	15.0333	2.62098	0.202285	-0.0427202	135.127	14.6575	135.066	15.2513	2.58865	0.863795	0.369708
137.492	16.1492	2.72745	0.430988	0.107122	137.561	16.2147	137.639	16.1592	2.61821	0.974442	2.40105
137.542	16.1385	2.78343	0.407072	0.0830059	137.653	16.5145	137.639	16.1592	2.61821	0.974442	1.12176
140.264	17.0159	2.84529	0.327407	-0.01154	140.331	17.008	140.242	17.1733	2.63994	1.07503	1.06291
140.286	17.0163	2.86569	0.321058	-0.0174103	140.305	17.5379	140.242	17.1733	2.63994	1.07503	0.182038
142.909	17.9882	2.84723	0.35094	0.00962521	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0.0965574
142.879	17.9844	2.83861	0.34999	0.0064451	142.626	18.1458	142.868	18.2829	2.65497	1.16346	0.737455
145.413	19.1496	2.8246	0.443973	0.0568754	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0.217773
145.486	19.1468	2.88438	0.422617	0.0371445	145.789	19.3785	145.51	19.4754	2.66445	1.23795	1.88219
148.183	20.4452	2.97342	0.46617	0.0385798	148.251	20.4754	148.163	20.7364	2.66951	1.29702	0.726371
148.183	20.4473	2.96978	0.46929	0.042175	148.146	20.9376	148.163	20.7364	2.66951	1.29702	0.0430899
150.682	22.0882	2.99665	0.616124	0.102174	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0.312835
150.7	22.0724	3.02727	0.58617	0.068639	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0.911084
153.381	23.5055	3.04321	0.500396	-0.0231261	153.422	23.4909	153.491	23.3999	2.66999	1.3647	0.738304
153.376	23.5056	3.0363	0.504102	-0.0189555	153.466	22.9115	153.491	23.3999	2.66999	1.3647	0.0389895
156.05	24.8206	3.02111	0.441266	-0.0445445	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0.0621956
156.029	24.8237	2.9875	0.45732	-0.0265111	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0.542292
158.847	26.0179	3.05238	0.376443	-0.0588939	158.905	26.0308	158.827	26.1372	2.66127	1.36157	0.50512
158.877	26.0198	3.07154	0.370851	-0.0629375	159.014	26.1903	158.827	26.1372	2.66127	1.36157	0.357483
161.483	27.4135	3.00578	0.478875	0.0362576	161.412	27.4256	161.493	27.4891	2.65371	1.33344	1.24415
